community_area,community_area_name,n_schools_5e,avg_leaders_score,avg_teachers_score,avg_families_score,avg_environment_score,avg_instruction_score,sr_total_requests,sr_total_closed,sr_avg_share_closed,sr_avg_median_ttc_hours,sr_avg_p75_ttc_hours,sr_avg_pct_closed_24h,sr_avg_pct_closed_7d,sr_avg_pct_closed_30d,cps_n_schools,cps_student_attendance,cps_teacher_attendance,cps_mobility_rate,cps_graduation_rate,cps_college_enrollment,acs_total_population,acs_poverty_rate,acs_median_household_income_weighted,acs_unemployment_rate,acs_pct_less_than_hs,acs_pct_bachelor_plus,acs_snap_rate,acs_public_assist_rate,acs_rent_burden_30p_rate,acs_rent_burden_50p_rate,acs_crowding_rate,acs_pct_renter,acs_vacancy_rate,acs_no_vehicle_rate,acs_pct_white_non_hispanic,acs_pct_black_non_hispanic,acs_pct_hispanic
11,JEFFERSON PARK,3,69.11111111111111,65.66666666666667,70.05555555555556,53.33333333333333,53.83333333333333,24845,24180,0.967911111111111,637.9221222222222,1374.3071555555557,0.2961777777777777,0.5250666666666667,0.7260333333333333,92.69166666666666,93.45,6.25,,,3,26649,0.0563,96865.0,0.0516,0.077,0.4474,0.0915,0.0247,0.4455,0.0994,0.0245,0.3267,0.0471,0.1065,0.5606,0.0281,0.2692
12,FOREST GLEN,3,53.55555555555557,53.0,66.33333333333333,53.55555555555555,52.55555555555555,20645,19958,0.9203111111111112,109.52718888888889,844.8430888888889,0.3016888888888889,0.5464111111111111,0.7560555555555556,95.56111111111112,93.83888888888887,3.222222222222222,,,3,19901,0.0483,138666.0,0.0415,0.0375,0.6526,0.0563,0.0272,0.448,0.2107,0.015,0.1165,0.0258,0.0488,0.7009,0.0141,0.1078
13,NORTH PARK,6,51.53333333333333,56.333333333333336,65.6,60.46666666666666,59.16666666666666,14762,14390,0.97717,65.48294,584.3962899999999,0.3761299999999999,0.6304299999999999,0.78974,90.20833333333331,91.75,5.7,71.80833333333334,80.57777777777777,6,18356,0.1711,69083.0,0.042,0.0863,0.4735,0.1909,0.04,0.4406,0.2154,0.0538,0.519,0.1023,0.1858,0.4478,0.0557,0.1647
14,ALBANY PARK,9,53.03703703703704,52.2962962962963,57.44444444444444,52.66666666666666,53.09259259259259,33092,32366,0.9788083333333332,222.77021666666667,817.6323083333333,0.3540583333333333,0.6151083333333334,0.7866833333333334,91.46851851851852,91.7375,11.6125,73.89999999999999,53.0,9,45538,0.1194,86837.0,0.0687,0.1811,0.4378,0.1344,0.0271,0.4167,0.1651,0.0407,0.5627,0.0773,0.1788,0.3422,0.0351,0.4298
15,PORTAGE PARK,7,51.0,49.95238095238096,53.42857142857143,46.11111111111112,48.94444444444445,59722,58086,0.974005,289.05392500000005,950.88016,0.318065,0.56407,0.796295,87.58809523809524,91.70476190476192,10.07222222222222,63.43333333333334,31.53333333333333,7,63031,0.1088,92019.0,0.0493,0.1174,0.3897,0.1357,0.0251,0.4696,0.2789,0.0339,0.3875,0.0648,0.1153,0.4657,0.0234,0.409
16,IRVING PARK,10,58.66666666666666,56.66666666666666,62.4,49.75,47.8,48713,47678,0.98099375,63.03530625,363.82196875,0.33724375,0.65191875,0.83295,90.04833333333333,92.45,7.843333333333334,83.86666666666667,70.3,10,53332,0.1077,94018.0,0.0658,0.0964,0.5166,0.1098,0.0343,0.4304,0.1868,0.0294,0.4865,0.0615,0.1425,0.4593,0.0371,0.3738
17,DUNNING,6,52.61111111111112,50.77777777777778,53.88888888888889,50.38888888888889,52.66666666666666,36839,36094,0.9716285714285714,129.7207,644.0680785714286,0.3091285714285714,0.5455428571428571,0.7734785714285713,92.93333333333334,91.96666666666664,5.027777777777778,95.6,65.8,6,41233,0.091,87863.0,0.0558,0.1144,0.2718,0.0825,0.0268,0.467,0.267,0.0292,0.2051,0.0547,0.0676,0.518,0.0254,0.367
18,MONTCLARE,1,57.66666666666666,58.333333333333336,60.66666666666666,46.66666666666666,49.333333333333336,11560,11345,0.952225,78.104725,448.4043125,0.4323625,0.6284625,0.7956624999999999,89.56666666666668,92.01666666666664,9.066666666666666,,,1,14280,0.146,74032.0,0.0579,0.1773,0.2268,0.1747,0.0206,0.5883,0.3469,0.0399,0.4417,0.0371,0.099,0.2938,0.0729,0.6075
19,BELMONT CRAGIN,16,52.15625,50.333333333333336,54.302083333333336,46.958333333333336,49.47916666666666,55644,54676,0.9812857142857142,257.03723333333335,723.2382,0.3823190476190476,0.6553476190476191,0.8225857142857143,89.234375,90.8847222222222,8.54,82.97777777777777,66.06666666666668,16,72088,0.1574,70209.0,0.058,0.2956,0.1745,0.2387,0.0464,0.5489,0.288,0.0755,0.4768,0.0647,0.1392,0.1298,0.0392,0.7815
20,HERMOSA,6,47.16666666666666,47.05555555555555,52.55555555555555,51.91666666666666,49.25,18163,17847,0.9880461538461538,88.60387692307692,446.1543461538461,0.3628230769230769,0.6283615384615384,0.8270153846153847,88.16944444444444,91.82083333333333,10.005555555555556,82.98888888888888,66.54444444444444,6,22576,0.1346,70770.0,0.052,0.2517,0.2259,0.1961,0.035,0.4553,0.2339,0.0732,0.516,0.0743,0.1087,0.0979,0.0297,0.8486
