community_area,year,ward,n_requests,n_closed,share_closed,n_open,share_open,median_ttc_hours,p75_ttc_hours,mean_ttc_hours,median_age_open_hours,p75_age_open_hours,pct_closed_24h,pct_closed_72h,pct_closed_7d,pct_closed_30d,small_n_requests,small_n_closed
4,2024,40.0,6318,6059,0.959,259,0.041,48.0389,212.9272,463.7957,13589.5528,15450.5219,0.3639,0.5543,0.6858,0.8563,False,False
4,2024,47.0,4078,3862,0.947,216,0.053,47.2596,182.4969,420.9863,13734.6792,15083.7371,0.3416,0.5731,0.703,0.8573,False,False
4,2025,39.0,700,610,0.8714,90,0.1286,71.8174,352.3142,364.998,4366.2969,6139.8747,0.2914,0.4357,0.5557,0.7257,False,False
4,2025,40.0,7510,7069,0.9413,441,0.0587,39.9425,169.9361,260.0813,3149.6894,5002.9431,0.4138,0.5766,0.7028,0.8473,False,False
4,2025,47.0,3772,3498,0.9274,274,0.0726,47.2492,178.1151,273.3624,3491.9429,5141.4403,0.3521,0.5512,0.6911,0.8348,False,False
5,2021,1.0,59,59,1.0,0,0.0,37.4169,280.1983,290.4791,,,0.4237,0.5763,0.661,0.8644,False,False
5,2021,32.0,3276,3184,0.9719,92,0.0281,91.0911,884.5158,1801.0577,38863.6932,39642.5223,0.3254,0.4603,0.5449,0.714,False,False
5,2021,33.0,132,132,1.0,0,0.0,27.29,212.7951,458.4228,,,0.4848,0.6742,0.7273,0.8788,False,False
5,2021,47.0,7368,7234,0.9818,134,0.0182,64.2071,614.0216,1139.1577,38982.3558,39873.9521,0.3709,0.52,0.6124,0.7531,False,False
5,2022,1.0,51,51,1.0,0,0.0,17.4972,88.3399,348.5366,,,0.6471,0.7255,0.8431,0.902,False,False
5,2022,32.0,3479,3430,0.9859,49,0.0141,96.0464,718.0728,1567.4578,30231.6958,31837.0733,0.3199,0.4602,0.5473,0.7396,False,False
5,2022,33.0,95,95,1.0,0,0.0,33.9464,239.8608,408.8623,,,0.4737,0.6421,0.7368,0.8105,False,False
5,2022,47.0,6535,6454,0.9876,81,0.0124,75.0833,495.8542,1183.3037,30122.8703,32057.0408,0.3005,0.4762,0.5991,0.7726,False,False
5,2023,32.0,3877,3782,0.9755,95,0.0245,67.2842,495.4409,1010.1436,20367.2517,22670.0911,0.3314,0.5037,0.6028,0.8035,False,False
5,2023,47.0,5621,5499,0.9783,122,0.0217,69.4233,335.6843,820.5718,21982.3132,23186.8931,0.3056,0.5065,0.6454,0.8395,False,False
5,2024,32.0,4449,4243,0.9537,206,0.0463,45.0644,261.2807,771.2037,14220.9721,15574.2238,0.376,0.5527,0.6678,0.8137,False,False
5,2024,47.0,6842,6541,0.956,301,0.044,43.63,180.9728,405.8834,14123.8586,15351.9953,0.385,0.5729,0.7074,0.8636,False,False
5,2025,32.0,4985,4540,0.9107,445,0.0893,47.1908,329.4598,432.6783,4306.9547,5943.4444,0.3695,0.5047,0.605,0.7645,False,False
5,2025,47.0,6530,6118,0.9369,412,0.0631,48.2625,216.3903,295.6892,3117.5765,5199.6373,0.3669,0.5297,0.6665,0.8202,False,False
6,2021,32.0,2732,2675,0.9791,57,0.0209,68.1483,570.989,1333.4335,38699.4819,39007.2775,0.3364,0.5073,0.6029,0.7643,False,False
6,2021,44.0,9469,9296,0.9817,173,0.0183,69.4057,530.2862,956.127,38980.1564,40691.71,0.3511,0.4995,0.5848,0.7583,False,False
6,2021,46.0,1831,1775,0.9694,56,0.0306,60.5533,379.3379,1165.716,38973.2969,40678.5835,0.3665,0.521,0.6395,0.7875,False,False
6,2021,47.0,4045,3979,0.9837,66,0.0163,68.18,549.9553,1011.9586,38949.6107,40386.3501,0.3543,0.5095,0.6262,0.7852,False,False
6,2022,32.0,2687,2632,0.9795,55,0.0205,70.8774,697.7764,1433.211,29432.2133,33136.1603,0.3301,0.4939,0.5869,0.7365,False,False
6,2022,43.0,1,1,1.0,0,0.0,194.2819,194.2819,194.2819,,,0.0,0.0,0.0,1.0,True,True
6,2022,44.0,9888,9704,0.9814,184,0.0186,72.0256,480.0011,1072.2048,30338.6858,33723.7587,0.3317,0.4905,0.5874,0.7715,False,False
6,2022,46.0,2252,2191,0.9729,61,0.0271,75.5569,561.346,1262.6498,30697.8497,33225.5831,0.3286,0.4822,0.5755,0.7527,False,False
6,2022,47.0,3836,3788,0.9875,48,0.0125,71.2896,376.4242,824.9413,31396.8496,33717.2725,0.3175,0.4964,0.6309,0.8131,False,False
6,2023,32.0,3306,3262,0.9867,44,0.0133,48.4199,376.0842,848.8811,20082.4007,21930.4315,0.3566,0.5566,0.6685,0.8261,False,False
6,2023,43.0,3,3,1.0,0,0.0,234.9828,297.2506,211.156,,,0.0,0.3333,0.3333,1.0,True,True
